timestamp;sensor;context_sensor;date (America/Argentina/Buenos_Aires)
1684164914010;0.0;{};2023-05-15 12:35:14.010000-03:00
1684164913982;0.0;{};2023-05-15 12:35:13.982000-03:00
1684164911493;0.0;{};2023-05-15 12:35:11.493000-03:00
1684164910483;0.0;{};2023-05-15 12:35:10.483000-03:00
1684164909474;0.0;{};2023-05-15 12:35:09.474000-03:00
1684164908476;0.0;{};2023-05-15 12:35:08.476000-03:00
1684164907487;0.0;{};2023-05-15 12:35:07.487000-03:00
1684164906461;0.0;{};2023-05-15 12:35:06.461000-03:00
1684164905460;0.0;{};2023-05-15 12:35:05.460000-03:00
1684164904966;0.0;{};2023-05-15 12:35:04.966000-03:00
1684164902004;0.0;{};2023-05-15 12:35:02.004000-03:00
1684164901981;0.0;{};2023-05-15 12:35:01.981000-03:00
1684164899448;0.0;{};2023-05-15 12:34:59.448000-03:00
1684164898403;0.0;{};2023-05-15 12:34:58.403000-03:00
1684164892458;0.0;{};2023-05-15 12:34:52.458000-03:00
1684164890447;0.0;{};2023-05-15 12:34:50.447000-03:00
1684164889028;0.0;{};2023-05-15 12:34:49.028000-03:00
1684164888998;0.0;{};2023-05-15 12:34:48.998000-03:00
1684164882447;0.0;{};2023-05-15 12:34:42.447000-03:00
1684164881443;0.0;{};2023-05-15 12:34:41.443000-03:00
1684164880011;0.0;{};2023-05-15 12:34:40.011000-03:00
1684164879962;0.0;{};2023-05-15 12:34:39.962000-03:00
1684164872074;0.0;{};2023-05-15 12:34:32.074000-03:00
1684164871873;0.0;{};2023-05-15 12:34:31.873000-03:00
1684164869434;0.0;{};2023-05-15 12:34:29.434000-03:00
1684164868422;0.0;{};2023-05-15 12:34:28.422000-03:00
1684164867428;0.0;{};2023-05-15 12:34:27.428000-03:00
1684164866457;0.0;{};2023-05-15 12:34:26.457000-03:00
1684164864108;0.0;{};2023-05-15 12:34:24.108000-03:00
1684164863916;0.0;{};2023-05-15 12:34:23.916000-03:00
1684164862456;4095.0;{};2023-05-15 12:34:22.456000-03:00
1684164860422;4095.0;{};2023-05-15 12:34:20.422000-03:00
1684164859393;4095.0;{};2023-05-15 12:34:19.393000-03:00
1684164855009;4095.0;{};2023-05-15 12:34:15.009000-03:00
1684164854894;4095.0;{};2023-05-15 12:34:14.894000-03:00
1684164850386;4095.0;{};2023-05-15 12:34:10.386000-03:00
1684164848443;4095.0;{};2023-05-15 12:34:08.443000-03:00
1684164847916;4095.0;{};2023-05-15 12:34:07.916000-03:00
1684164832042;4095.0;{};2023-05-15 12:33:52.042000-03:00
1684164831059;4095.0;{};2023-05-15 12:33:51.059000-03:00
1684164830041;2512.0;{};2023-05-15 12:33:50.041000-03:00
1684164829022;4012.0;{};2023-05-15 12:33:49.022000-03:00
1684164828481;4095.0;{};2023-05-15 12:33:48.481000-03:00
